nitrogen,phosphorus,potassium,temperature,moisture,humidity,soiltype,cropname,recommended_fertilizer
37,15,14,28.9,41.1,28.4,peaty,cabbage,urea
14,59,16,18.1,46.1,81.3,sandy,apple,npk
75,24,99,47.3,33.9,43.5,loamy,mango,npk
43,31,74,17.1,50.4,63.4,sandy,cabbage,ammonium sulfate
15,96,78,22.4,22.0,71.2,sandy,coconut,urea
63,59,32,23.3,22.5,34.6,peaty,wheat,compost
37,98,82,44.8,36.9,80.7,loamy,lentil,ammonium sulfate
44,53,87,37.5,81.1,61.3,silty,sorghum,ammonium sulfate
87,25,62,36.1,84.4,35.0,chalky,cotton,organic
84,48,11,22.4,42.2,31.1,silty,millet,npk
51,51,73,17.5,50.4,33.9,loamy,sugarcane,super phosphate
3,69,83,42.6,88.2,85.6,chalky,pineapple,urea
96,42,92,30.2,76.5,24.5,clay,grape,ammonium sulfate
97,45,96,29.5,87.8,56.1,chalky,barley,npk
73,57,47,14.4,18.7,53.0,clay,rice,urea
8,26,73,45.5,61.4,43.4,silty,potato,compost
67,94,76,10.1,45.1,68.1,loamy,soybean,compost
24,68,58,38.1,26.0,78.4,chalky,millet,organic
0,84,12,17.5,72.3,74.6,peaty,rice,super phosphate
71,9,51,46.8,44.3,35.3,silty,barley,compost
38,38,83,39.7,48.4,42.1,silty,carrot,urea
99,96,60,25.5,87.5,74.3,sandy,apple,urea
95,23,41,12.4,42.0,22.9,peaty,rice,npk
38,13,85,40.9,52.8,76.6,clay,sorghum,mop
56,20,47,30.6,75.1,60.7,silty,mango,compost
43,99,24,23.7,13.4,35.2,peaty,soybean,super phosphate
58,66,54,38.7,57.3,58.8,sandy,sunflower,ammonium sulfate
74,35,14,42.8,50.0,43.6,loamy,soybean,organic
16,17,78,39.5,85.0,73.2,peaty,rice,ammonium sulfate
66,67,11,48.7,17.4,79.2,chalky,rice,organic
12,38,73,17.7,20.0,24.7,peaty,rice,npk
37,42,47,46.2,49.9,30.2,loamy,apple,npk
100,42,49,16.1,54.4,61.4,chalky,mango,mop
38,53,3,40.6,77.5,60.9,peaty,grape,mop
62,91,38,16.5,30.1,84.5,chalky,coffee,urea
14,80,77,38.2,40.5,29.8,loamy,peanut,dap
36,25,43,14.7,69.4,61.7,sandy,millet,npk
83,62,93,45.2,59.7,79.3,chalky,tomato,dap
75,1,77,34.3,54.6,33.7,clay,coconut,npk
24,64,19,18.8,79.1,25.2,silty,wheat,npk
97,1,93,15.3,76.5,81.4,loamy,mango,npk
39,63,86,12.2,82.0,46.5,loamy,sunflower,mop
29,95,16,33.7,63.7,48.1,clay,mustard,npk
5,12,86,41.5,60.8,60.3,sandy,maize,urea
89,1,31,19.2,56.7,69.3,silty,pineapple,dap
76,37,97,31.5,71.6,50.7,silty,mango,super phosphate
25,77,58,12.1,26.3,67.9,sandy,cotton,npk
