nitrogen,phosphorus,potassium,temperature,moisture,humidity,soiltype,cropname,recommended_fertilizer
89,50,73,15.7,53.4,22.7,peaty,soybean,superphosphate
16,24,10,31.0,76.4,64.7,loamy,wheat,urea
5,38,89,38.3,72.6,39.8,clay,barley,urea
91,32,53,34.1,69.0,85.2,saline,groundnut,mop
78,69,81,35.4,55.2,42.9,peaty,maize,mop
89,60,79,29.8,45.8,21.3,clay,sorghum,urea
90,47,28,25.9,47.7,48.5,loamy,wheat,mop
14,72,8,28.4,54.8,25.4,saline,sugarcane,urea
9,95,73,29.9,12.2,42.5,sandy,wheat,urea
41,55,48,26.7,40.8,44.8,peaty,cotton,complex fertilizer
42,25,2,28.0,33.5,59.3,peaty,millet,dap
67,63,58,35.9,34.1,86.7,peaty,groundnut,complex fertilizer
68,45,13,34.7,31.7,24.8,loamy,sugarcane,mop
98,62,66,20.1,45.1,75.9,saline,barley,ammonium sulfate
19,29,94,32.1,32.4,35.9,peaty,sugarcane,urea
71,26,99,28.7,63.9,72.9,peaty,millet,dap
5,58,20,38.5,78.5,38.9,saline,groundnut,urea
24,98,8,19.5,37.1,76.9,peaty,sorghum,urea
74,71,67,22.1,53.2,86.4,peaty,sugarcane,superphosphate
8,88,94,22.9,41.3,20.5,saline,sorghum,urea
66,89,77,24.3,36.3,70.0,peaty,groundnut,mop
28,77,52,22.0,41.1,26.6,saline,barley,urea
50,83,25,34.9,26.6,77.1,peaty,cotton,mop
57,37,87,27.5,58.9,54.3,clay,millet,superphosphate
54,34,26,20.1,25.7,40.6,sandy,maize,mop
64,31,94,20.2,46.6,49.4,clay,millet,mop
28,78,59,24.8,14.9,64.6,saline,sorghum,urea
23,88,16,23.2,79.6,85.9,clay,sorghum,urea
25,99,73,35.3,36.0,81.4,saline,cotton,urea
42,70,20,39.7,22.2,65.9,loamy,groundnut,mop
94,52,45,38.8,29.2,33.0,sandy,sorghum,urea
51,6,90,30.4,73.9,26.2,peaty,maize,dap
67,11,77,20.5,16.4,89.8,clay,cotton,dap
35,16,89,36.7,72.7,54.8,peaty,sugarcane,dap
3,89,99,21.8,66.0,72.3,peaty,rice,urea
37,55,46,29.8,80.5,84.4,saline,rice,dap
75,5,26,30.9,43.2,87.0,clay,rice,dap
90,5,87,19.2,11.2,55.4,clay,maize,dap
23,4,23,17.0,53.3,45.2,peaty,rice,urea
76,69,0,30.6,33.7,62.6,peaty,cotton,mop
24,17,1,32.8,65.8,86.8,peaty,millet,urea
68,94,30,15.0,40.6,37.6,loamy,maize,mop
22,79,8,24.9,62.5,65.6,peaty,cotton,urea
76,93,18,34.0,87.1,68.0,saline,soybean,mop
43,16,43,30.5,26.7,65.2,peaty,sugarcane,dap
5,6,65,32.1,75.2,70.8,peaty,sugarcane,urea
64,86,84,28.0,79.2,60.5,sandy,wheat,dap
70,100,50,21.0,33.3,20.3,peaty,rice,ammonium sulfate
19,66,25,26.4,74.9,78.5,clay,soybean,urea
84,40,78,23.3,74.0,47.7,clay,groundnut,complex fertilizer
53,79,24,27.5,49.4,32.2,loamy,sugarcane,mop
62,45,80,29.4,62.6,71.5,peaty,sorghum,dap
62,80,41,15.1,78.5,49.0,peaty,maize,ammonium sulfate
61,42,56,26.1,80.4,24.9,peaty,rice,superphosphate
71,18,9,39.1,24.7,41.1,clay,groundnut,dap
94,35,29,21.2,12.1,47.5,saline,maize,mop
69,40,58,24.8,13.1,45.4,sandy,wheat,complex fertilizer
45,40,16,32.3,13.5,46.4,clay,groundnut,mop
4,82,52,19.3,62.1,52.6,loamy,cotton,urea
14,48,80,30.9,31.7,47.6,sandy,maize,urea
21,11,73,18.5,86.6,57.9,loamy,sugarcane,urea
24,31,49,21.6,16.6,42.6,loamy,rice,urea
74,99,94,24.4,55.0,51.7,loamy,rice,complex fertilizer
94,70,84,36.5,37.2,32.3,peaty,groundnut,superphosphate
53,42,74,21.8,40.9,40.9,peaty,barley,mop
53,20,14,34.6,88.1,63.7,saline,rice,dap
80,46,7,27.2,89.2,77.5,loamy,cotton,mop
63,94,62,31.1,42.6,75.3,loamy,maize,superphosphate
42,9,59,21.3,49.5,57.8,peaty,maize,dap
50,12,96,19.4,16.8,31.7,loamy,sugarcane,dap
42,53,16,18.1,49.1,70.7,saline,sugarcane,mop
84,73,19,39.7,40.3,82.7,sandy,groundnut,mop
64,24,10,27.3,67.7,20.0,saline,groundnut,dap
2,93,80,22.6,51.3,44.7,clay,soybean,urea
73,45,38,28.2,32.8,77.9,clay,rice,ammonium sulfate
10,12,81,37.9,29.6,29.1,saline,sugarcane,urea
3,89,65,38.3,85.1,56.3,sandy,groundnut,urea
55,95,52,15.3,64.6,52.4,clay,wheat,superphosphate
33,10,37,38.1,71.6,39.3,loamy,maize,dap
55,95,97,39.2,73.9,54.9,loamy,maize,dap
15,98,5,38.2,84.7,48.9,peaty,maize,urea
1,4,43,33.6,21.6,60.8,sandy,groundnut,urea
93,92,80,36.1,15.6,47.5,sandy,wheat,complex fertilizer
69,21,86,24.2,56.1,64.9,peaty,maize,dap
53,67,59,31.2,84.7,44.9,sandy,rice,ammonium sulfate
68,67,18,23.6,21.8,22.8,saline,rice,mop
89,87,99,30.7,79.5,82.4,peaty,groundnut,complex fertilizer
85,54,91,38.8,11.6,25.2,sandy,barley,complex fertilizer
0,38,59,15.9,22.5,84.4,saline,cotton,urea
92,14,74,24.8,58.7,59.6,clay,maize,dap
80,15,25,23.1,23.0,77.1,peaty,sugarcane,dap
48,68,86,19.9,34.4,28.2,loamy,barley,ammonium sulfate
43,77,42,29.0,81.5,27.2,peaty,rice,ammonium sulfate
6,35,71,37.9,19.0,68.4,sandy,wheat,urea
24,70,55,37.1,63.7,29.1,loamy,sorghum,urea
78,55,40,20.0,85.4,20.4,clay,barley,superphosphate
45,41,96,28.4,25.8,54.6,peaty,wheat,superphosphate
99,48,64,15.4,13.2,86.4,loamy,wheat,dap
37,22,51,32.0,24.3,80.4,clay,sugarcane,dap
8,95,25,27.2,79.7,78.3,loamy,barley,urea
28,57,2,16.2,47.8,74.9,clay,sugarcane,urea
62,9,9,29.5,53.4,35.9,loamy,sorghum,dap
48,59,92,30.1,32.3,42.1,saline,maize,dap
49,4,72,29.7,68.5,83.9,saline,cotton,dap
88,69,43,30.2,44.5,31.8,saline,sorghum,urea
89,68,41,24.6,84.6,86.4,loamy,groundnut,ammonium sulfate
20,44,29,29.7,72.4,74.9,sandy,sugarcane,urea
22,98,64,23.1,68.1,74.2,peaty,cotton,urea
4,10,44,20.0,42.0,41.1,sandy,cotton,urea
