nitrogen,phosphorus,potassium,temperature,moisture,humidity,soiltype,cropname,recommended_fertilizer
54,54,50,49.2,44.6,32.9,laterite,cabbage,bio-fertilizer
82,11,25,10.8,59.2,82.8,arid,grape,vermicompost
46,84,91,44.7,79.1,32.4,loamy,spinach,organic
70,22,94,31.7,58.7,64.2,saline,onion,organic
16,17,89,15.5,82.5,70.5,forest,cabbage,urea
24,22,21,24.5,58.2,65.6,forest,wheat,super phosphate
42,26,70,36.8,11.3,70.3,arid,millet,npk
67,58,83,25.6,76.9,43.0,black,tea,mop
31,81,73,48.3,73.8,81.3,peat,garlic,organic
54,66,41,33.1,60.8,81.7,laterite,cotton,urea
32,97,7,47.2,58.5,83.1,red,brinjal,organic
74,29,57,35.3,58.3,60.3,red,barley,vermicompost
67,88,75,26.6,15.9,25.5,forest,millet,mop
68,46,60,21.6,10.9,43.2,loamy,coffee,bio-fertilizer
99,28,37,38.5,46.4,42.2,loamy,pomegranate,urea
97,68,77,44.5,47.4,40.2,mountain,jute,urea
57,93,42,42.7,52.4,81.8,black,safflower,mop
61,90,52,45.9,34.6,35.5,peat,banana,bio-fertilizer
17,93,26,26.0,42.0,47.8,peat,cabbage,ammonium sulfate
39,52,98,26.9,50.9,75.5,arid,brinjal,organic
52,67,12,28.4,74.5,24.9,peat,carrot,npk
83,86,86,23.5,83.1,29.0,saline,onion,super phosphate
43,31,42,30.9,60.0,30.1,loamy,linseed,dap
81,87,2,41.3,17.0,69.8,loamy,cauliflower,npk
22,59,99,27.7,51.0,51.0,black,sorghum,mop
79,35,74,27.3,35.0,59.0,saline,wheat,urea
91,96,51,16.4,35.4,35.1,loamy,rubber,ammonium sulfate
42,28,74,43.4,68.2,26.2,laterite,jute,dap
77,91,91,37.4,37.4,36.6,arid,watermelon,bio-fertilizer
14,81,58,47.6,79.9,76.5,peat,black gram,organic
87,13,73,11.4,29.8,81.8,red,cauliflower,mop
5,98,13,22.8,75.2,41.7,black,garlic,compost
11,91,18,11.1,41.4,75.1,alluvial,cowpea,organic
98,13,1,29.9,81.3,76.0,forest,banana,mop
75,69,10,17.4,76.6,89.8,arid,tobacco,bio-fertilizer
5,84,46,17.9,18.5,84.3,black,guava,bio-fertilizer
78,49,83,47.9,54.7,51.7,alluvial,barley,ammonium sulfate
33,75,66,21.0,22.7,67.3,black,sorghum,npk
41,23,17,46.5,52.6,23.4,laterite,garlic,super phosphate
80,46,0,14.3,43.2,66.6,peat,coconut,urea
2,59,70,47.4,36.6,50.4,alluvial,onion,compost
16,39,89,15.8,65.1,47.4,black,pigeon pea,super phosphate
71,6,31,24.1,20.5,74.3,loamy,papaya,urea
68,79,94,27.1,45.4,47.4,laterite,brinjal,urea
91,52,90,42.6,79.9,40.3,black,chickpea,dap
46,12,99,31.4,57.7,36.4,mountain,papaya,bio-fertilizer
56,81,11,26.8,13.5,28.4,black,garlic,mop
68,58,8,22.6,85.3,33.0,loamy,orange,vermicompost
27,35,83,41.1,80.0,68.9,peat,soybean,npk
81,46,88,34.6,48.0,45.4,laterite,mustard,super phosphate
11,18,78,40.8,50.1,22.6,saline,sugarcane,organic
16,28,54,13.8,56.2,43.0,forest,pineapple,super phosphate
33,48,3,17.4,32.4,72.6,loamy,sesame,urea
5,42,24,42.2,18.3,88.6,alluvial,sunflower,bio-fertilizer
38,8,32,14.6,79.8,56.4,black,spinach,super phosphate
54,80,91,33.7,52.3,69.8,laterite,onion,urea
24,64,21,28.2,58.4,42.3,peat,spinach,organic
98,29,44,36.7,24.8,59.0,loamy,black gram,dap
58,14,87,11.2,60.0,31.2,black,jute,vermicompost
49,65,46,41.6,43.4,63.1,forest,spinach,dap
71,43,3,22.5,16.2,27.8,forest,cabbage,organic
62,89,71,47.2,88.6,63.5,black,maize,dap
6,42,3,24.7,25.4,61.0,alluvial,watermelon,bio-fertilizer
51,11,13,34.7,85.9,78.3,laterite,safflower,npk
43,85,44,23.2,49.1,59.8,saline,orange,compost
60,87,46,44.8,76.2,30.1,laterite,oats,dap
56,70,73,35.7,54.4,58.5,black,tea,ammonium sulfate
57,7,34,20.9,10.3,57.8,laterite,banana,super phosphate
11,15,15,23.3,85.1,61.9,peat,black gram,urea
66,88,77,42.7,21.8,55.3,forest,peas,dap
3,45,78,12.7,57.9,84.7,alluvial,cotton,vermicompost
22,50,87,45.8,33.1,34.5,laterite,rubber,mop
76,91,35,44.3,20.2,29.1,laterite,guava,npk
72,38,95,23.1,58.9,24.3,black,pineapple,compost
47,31,81,26.9,24.0,63.0,red,onion,dap
57,98,9,18.4,22.9,37.4,alluvial,linseed,super phosphate
10,100,14,19.0,48.9,68.9,arid,barley,bio-fertilizer
51,31,79,45.5,28.5,40.8,alluvial,black gram,compost
14,54,47,37.8,39.1,36.5,arid,millet,urea
74,68,92,31.1,64.1,78.9,alluvial,orange,npk
35,3,6,37.3,72.8,32.7,loamy,watermelon,mop
80,73,44,26.1,49.4,42.6,alluvial,guava,vermicompost
21,37,2,46.5,61.9,26.4,peat,orange,npk
95,4,60,36.5,39.8,44.4,red,maize,organic
99,39,14,23.9,60.7,49.3,alluvial,lentil,vermicompost
63,70,38,12.5,68.3,84.5,peat,groundnut,organic
73,18,3,41.0,23.3,48.4,mountain,maize,super phosphate
57,42,19,12.1,47.1,59.3,peat,spinach,mop
98,77,38,13.2,57.5,52.0,forest,kidney bean,organic
98,69,9,21.9,54.3,31.9,laterite,tea,npk
28,23,16,19.3,60.2,30.4,mountain,grape,super phosphate
18,62,67,42.4,28.9,43.4,laterite,guava,bio-fertilizer
38,37,56,17.2,49.1,45.4,loamy,groundnut,ammonium sulfate
26,17,29,17.5,85.3,73.7,arid,millet,super phosphate
79,59,52,41.1,50.2,39.3,alluvial,garlic,bio-fertilizer
99,89,0,45.9,14.1,57.7,mountain,cotton,ammonium sulfate
78,64,14,17.1,35.7,60.1,saline,coffee,dap
40,33,57,41.0,57.5,20.9,alluvial,sugarcane,npk
2,14,10,31.3,27.7,61.1,laterite,sugarcane,organic
38,89,39,32.3,10.3,89.7,peat,coffee,dap
12,59,2,48.3,62.8,51.8,loamy,coconut,super phosphate
28,62,24,33.9,33.7,67.6,forest,sunflower,ammonium sulfate
97,48,87,44.5,51.5,77.9,arid,mango,organic
7,40,30,42.3,70.1,32.7,loamy,rubber,npk
18,93,43,40.8,13.9,85.8,loamy,cotton,mop
59,11,74,36.6,82.1,83.0,saline,papaya,mop
39,23,42,26.8,14.1,64.6,black,grape,bio-fertilizer
46,45,59,40.5,37.4,50.1,arid,soybean,urea
94,81,48,24.1,75.7,72.5,peat,black gram,mop
68,17,33,49.8,48.0,82.5,arid,peas,vermicompost
11,45,16,19.7,10.1,36.6,peat,grape,ammonium sulfate
29,64,16,10.7,70.4,47.9,forest,peas,urea
4,87,61,33.2,35.9,88.7,laterite,groundnut,mop
20,98,6,16.5,87.9,60.8,loamy,cotton,compost
7,87,100,34.6,45.0,24.7,arid,barley,bio-fertilizer
92,7,76,47.1,45.2,66.3,loamy,jute,ammonium sulfate
62,2,64,31.6,32.3,22.0,loamy,chickpea,mop
20,22,69,46.7,42.8,45.7,laterite,cauliflower,super phosphate
85,37,45,24.6,78.3,83.6,alluvial,green gram,organic
26,100,91,42.0,44.2,89.6,peat,black gram,npk
50,35,53,17.6,65.4,57.2,forest,peas,dap
2,29,98,17.4,45.2,85.2,laterite,pineapple,vermicompost
31,99,10,16.3,68.8,26.2,arid,lentil,dap
35,8,25,30.4,12.3,30.3,laterite,kidney bean,super phosphate
97,0,20,13.7,78.9,32.4,peat,garlic,mop
23,58,30,38.2,46.8,74.4,red,barley,mop
33,17,96,32.3,54.9,60.8,red,guava,super phosphate
42,98,79,31.9,42.4,62.3,black,grape,mop
73,90,39,17.2,14.7,70.8,arid,wheat,super phosphate
36,89,58,12.6,57.2,67.3,black,pineapple,bio-fertilizer
3,51,63,41.7,11.4,54.7,laterite,peas,vermicompost
66,73,11,10.3,68.9,30.0,saline,rye,npk
83,13,56,20.3,47.8,54.2,laterite,chickpea,compost
52,93,74,42.7,62.1,64.7,loamy,cabbage,ammonium sulfate
86,69,42,36.4,28.2,66.2,laterite,barley,urea
70,18,83,32.7,35.5,39.4,black,grape,bio-fertilizer
9,54,7,38.5,43.5,84.6,loamy,sunflower,compost
22,51,58,31.9,23.7,34.5,arid,cowpea,dap
33,61,77,14.1,10.2,77.9,saline,soybean,compost
0,79,89,16.8,74.3,27.5,loamy,sunflower,ammonium sulfate
14,28,77,40.5,25.6,34.1,alluvial,carrot,urea
96,75,97,41.5,14.0,40.6,laterite,kidney bean,urea
8,53,22,33.7,22.8,31.9,alluvial,pigeon pea,ammonium sulfate
25,51,93,49.8,46.8,78.3,arid,potato,urea
53,44,23,23.7,40.3,38.3,peat,rye,bio-fertilizer
0,37,30,11.6,37.0,74.7,forest,banana,vermicompost
59,77,87,20.8,66.8,36.1,peat,chickpea,ammonium sulfate
88,16,90,18.9,44.4,39.0,alluvial,barley,bio-fertilizer
55,46,10,33.2,19.1,30.8,laterite,peas,vermicompost
70,46,8,42.1,20.2,41.6,forest,pineapple,vermicompost
97,86,71,46.7,28.8,85.2,loamy,sorghum,urea
51,52,61,15.8,16.2,57.9,saline,groundnut,dap
33,54,72,49.6,68.9,42.8,saline,banana,vermicompost
46,61,24,12.7,46.6,75.1,saline,cauliflower,organic
55,20,17,31.3,14.2,61.3,loamy,mustard,vermicompost
17,63,38,25.1,65.2,65.5,loamy,linseed,dap
86,88,97,34.7,72.6,52.9,laterite,carrot,organic
51,69,52,35.4,13.5,68.0,forest,millet,npk
24,36,76,18.9,36.3,75.1,arid,cowpea,npk
58,24,53,44.2,14.6,54.2,black,orange,bio-fertilizer
95,86,9,39.0,37.0,48.2,mountain,tea,urea
21,41,19,10.6,84.1,37.6,laterite,sugarcane,vermicompost
21,26,3,16.3,16.4,85.0,mountain,spinach,dap
47,71,89,14.1,10.4,59.3,red,kidney bean,mop
71,47,22,41.3,33.2,70.0,alluvial,coconut,urea
97,3,42,10.5,37.2,26.7,forest,jute,urea
36,8,32,18.7,42.9,88.6,arid,sorghum,compost
43,45,33,49.1,75.6,49.6,forest,lentil,super phosphate
42,7,13,14.5,11.0,37.6,saline,barley,mop
3,85,34,45.1,62.4,77.5,forest,barley,compost
16,73,4,38.4,50.1,38.3,laterite,cotton,super phosphate
81,33,67,20.6,67.8,36.2,black,carrot,dap
89,55,67,25.7,50.4,32.2,laterite,rice,bio-fertilizer
62,50,40,29.0,46.7,39.1,forest,linseed,super phosphate
4,97,75,15.5,59.1,64.4,black,spinach,bio-fertilizer
5,71,99,44.1,69.8,57.2,black,pineapple,urea
